State,Under 4 Years,5 to 14 Years,15 to 19 Years,20 to 24 Years,25 to 44 Years,45 to 64 Years,65 Years and Over
Riyadh , 648284,1295717,526682,587191,3311655,1437117,194854
Makkah ,649224,1303463,577786,599561,3250212,164200,301858
Al-Madinah ,182533,359418,151997,158991,758799,384257,84441
 Eastern Region,392402,754830,307572,386694,2014669,813869,110583
Najran,62024,102585,42279,49226,221368,81123,19727
Tabouk,94987,162193,63059,76222,338447,132857,23157
Al-Jouf,56841,90024,35805,41364,185696,73670,14109
Al-Baha,36464,70200,34746,40235,173908,85075,25756
Jazan,138961,271770,127849,137657,542289,244784,70370
Aseer,199146,377723,165782,182958,782966,354688,100909
NorthernBorders,33552,66851,27634,31607,135297,53196,11098
Hail,58928,113934,52003,59370,318401,114727,26653
Al-Qaseem,118515,224359,100296,117873,548126,234816,44011
